activity,county,date,score,state
eating,San Bernardino,2020-05-27 00:00:00,-0.35822857142857145,California
eating,San Bernardino,2020-05-20 00:00:00,0.07329999999999999,California
eating,New York,2020-06-03 00:00:00,-0.16561914893617027,New York
eating,New York,2020-05-27 00:00:00,-0.08929305555555554,New York
eating,New York,2020-05-20 00:00:00,-0.46004871794871793,New York
eating,Philadelphia,2020-06-03 00:00:00,0.5338357142857142,Pennsylvania
eating,Philadelphia,2020-05-27 00:00:00,-0.18198333333333336,Pennsylvania
eating,Palm Beach,2020-05-27 00:00:00,-0.13845555555555558,Florida
eating,Orange,2020-05-20 00:00:00,0.14670769230769232,Florida
eating,Salt Lake,2020-06-03 00:00:00,0.10578095238095238,Utah
